Date,CO2
 1966.6219,     320.36
 1966.7068,     318.64
 1966.7890,     318.10
 1966.8740,     319.78
 1966.9562,     321.03
 1967.0411,     322.33
 1967.1260,     322.50
 1967.2027,     323.03
 1967.2877,     324.42
 1967.3699,     325.00
 1967.4548,     324.09
 1967.5370,     322.54
 1967.6219,     320.92
 1967.7068,     319.25
 1967.7890,     319.39
 1967.8740,     320.73
 1967.9562,     321.96
 1968.0410,     322.57
 1968.1257,     323.15
 1968.2049,     323.89
 1968.2896,     325.02
 1968.3716,     325.57
 1968.4563,     325.36
 1968.5383,     324.14
 1968.6230,     322.11
 1968.7077,     320.33
 1968.7896,     320.25
 1968.8743,     321.32
 1968.9563,     322.89
 1969.0411,     324.00
 1969.1260,     324.42
 1969.2027,     325.63
 1969.2877,     326.66
 1969.3699,     327.38
 1969.4548,     326.71
 1969.5370,     325.88
 1969.6219,     323.66
 1969.7068,     322.38
 1969.7890,     321.78
 1969.8740,     322.85
 1969.9562,     324.12
 1970.0411,     325.06
 1970.1260,     325.98
 1970.2027,     326.93
 1970.2877,     328.13
 1970.3699,     328.08
 1970.4548,     327.67
 1970.5370,     326.34
 1970.6219,     324.68
 1970.7068,     323.10
 1970.7890,     323.07
 1970.8740,     324.01
 1970.9562,     325.13
 1971.0411,     326.17
 1971.1260,     326.68
 1971.2027,     327.18
 1971.2877,     327.79
 1971.3699,     328.93
 1971.4548,     328.57
 1971.5370,     327.36
 1971.6219,     325.43
 1971.7068,     323.36
 1971.7890,     323.56
 1971.8740,     324.80
 1971.9562,     326.01
 1972.0410,     326.77
 1972.1257,     327.63
 1972.2049,     327.75
 1972.2896,     329.72
 1972.3716,     330.07
 1972.4563,     329.09
 1972.5383,     328.04
 1972.6230,     326.32
 1972.7077,     324.84
 1972.7896,     325.20
 1972.8743,     326.50
 1972.9563,     327.55
 1973.0411,     328.55
 1973.1260,     329.56
 1973.2027,     330.30
 1973.2877,     331.50
 1973.3699,     332.48
 1973.4548,     332.07
 1973.5370,     330.87
 1973.6219,     329.31
 1973.7068,     327.52
 1973.7890,     327.19
 1973.8740,     328.17
 1973.9562,     328.65
 1974.0411,     329.36
 1974.1260,     330.71
 1974.2027,     331.49
 1974.2877,     332.65
 1974.3699,     333.10
 1974.4548,     332.26
 1974.5370,     331.18
 1974.6219,     329.40
 1974.7068,     327.44
 1974.7890,     327.38
 1974.8740,     328.46
 1974.9562,     329.58
 1975.0411,     330.41
 1975.1260,     331.41
 1975.2027,     332.05
 1975.2877,     333.32
 1975.3699,     333.98
 1975.4548,     333.61
 1975.5370,     331.91
 1975.6219,     330.06
 1975.7068,     328.57
 1975.7890,     328.35
 1975.8740,     329.50
 1975.9562,     330.77
 1976.0410,     331.76
 1976.1257,     332.58
 1976.2049,     333.50
 1976.2896,     334.59
 1976.3716,     334.89
 1976.4563,     334.34
 1976.5383,     333.06
 1976.6230,     330.95
 1976.7077,     329.31
 1976.7896,     328.95
 1976.8743,     330.32
 1976.9563,     331.69
 1977.0411,     332.94
 1977.1260,     333.43
 1977.2027,     334.71
 1977.2877,     336.08
 1977.3699,     336.76
 1977.4548,     336.28
 1977.5370,     334.93
 1977.6219,     332.76
 1977.7068,     331.60
 1977.7890,     331.17
 1977.8740,     332.41
 1977.9562,     333.86
 1978.0411,     334.98
 1978.1260,     335.40
 1978.2027,     336.65
 1978.2877,     337.77
 1978.3699,     338.02
 1978.4548,     337.91
 1978.5370,     336.55
 1978.6219,     334.69
 1978.7068,     332.77
 1978.7890,     332.56
 1978.8740,     333.93
 1978.9562,     334.96
 1979.0411,     336.24
 1979.1260,     336.77
 1979.2027,     337.97
 1979.2877,     338.89
 1979.3699,     339.48
 1979.4548,     339.30
 1979.5370,     337.74
 1979.6219,     336.10
 1979.7068,     333.93
 1979.7890,     333.87
 1979.8740,     335.30
 1979.9562,     336.74
 1980.0410,     338.03
 1980.1257,     338.37
 1980.2049,     340.09
 1980.2896,     340.78
 1980.3716,     341.48
 1980.4563,     341.18
 1980.5383,     339.57
 1980.6230,     337.61
 1980.7077,     335.90
 1980.7896,     336.03
 1980.8743,     337.12
 1980.9563,     338.23
 1981.0411,     339.25
 1981.1260,     340.50
 1981.2027,     341.40
 1981.2877,     342.52
 1981.3699,     342.93
 1981.4548,     342.27
 1981.5370,     340.50
 1981.6219,     338.45
 1981.7068,     336.71
 1981.7890,     336.88
 1981.8740,     338.38
 1981.9562,     339.63
 1982.0411,     340.77
 1982.1260,     341.63
 1982.2027,     342.72
 1982.2877,     343.59
 1982.3699,     344.16
 1982.4548,     343.37
 1982.5370,     342.07
 1982.6219,     339.83
 1982.7068,     338.00
 1982.7890,     337.88
 1982.8740,     339.28
 1982.9562,     340.51
 1983.0411,     341.39
 1983.1260,     342.54
 1983.2027,     343.12
 1983.2877,     344.96
 1983.3699,     345.78
 1983.4548,     345.34
 1983.5370,     344.00
 1983.6219,     342.40
 1983.7068,     339.88
 1983.7890,     340.00
 1983.8740,     341.16
 1983.9562,     342.99
 1984.0410,     343.82
 1984.1257,     344.62
 1984.2049,     345.39
 1984.2896,     347.15
 1984.3716,     347.52
 1984.4563,     346.88
 1984.5383,     345.47
 1984.6230,     343.34
 1984.7077,     341.13
 1984.7896,     341.40
 1984.8743,     343.02
 1984.9563,     344.25
 1985.0411,     344.99
 1985.1260,     346.01
 1985.2027,     347.43
 1985.2877,     348.34
 1985.3699,     348.92
 1985.4548,     348.24
 1985.5370,     346.54
 1985.6219,     344.64
 1985.7068,     343.06
 1985.7890,     342.77
 1985.8740,     344.21
 1985.9562,     345.53
 1986.0411,     346.28
 1986.1260,     346.93
 1986.2027,     347.83
 1986.2877,     349.53
 1986.3699,     350.19
 1986.4548,     349.53
 1986.5370,     347.92
 1986.6219,     345.88
 1986.7068,     344.83
 1986.7890,     344.15
 1986.8740,     345.64
 1986.9562,     346.88
 1987.0411,     348.00
 1987.1260,     348.47
 1987.2027,     349.40
 1987.2877,     350.97
 1987.3699,     351.84
 1987.4548,     351.25
 1987.5370,     349.50
 1987.6219,     348.09
 1987.7068,     346.44
 1987.7890,     346.09
 1987.8740,     347.54
 1987.9562,     348.69
 1988.0410,     350.16
 1988.1257,     351.47
 1988.2049,     351.96
 1988.2896,     353.33
 1988.3716,     353.97
 1988.4563,     353.55
 1988.5383,     352.14
 1988.6230,     350.19
 1988.7077,     348.50
 1988.7896,     348.66
 1988.8743,     349.85
 1988.9563,     351.12
 1989.0411,     352.55
 1989.1260,     352.86
 1989.2027,     353.48
 1989.2877,     355.22
 1989.3699,     355.47
 1989.4548,     354.92
 1989.5370,     353.70
 1989.6219,     351.47
 1989.7068,     349.61
 1989.7890,     349.79
 1989.8740,     351.10
 1989.9562,     352.32
 1990.0411,     353.46
 1990.1260,     354.50
 1990.2027,     355.19
 1990.2877,     356.00
 1990.3699,     356.96
 1990.4548,     356.04
 1990.5370,     354.62
 1990.6219,     352.71
 1990.7068,     350.77
 1990.7890,     350.99
 1990.8740,     352.64
 1990.9562,     354.02
 1991.0411,     354.53
 1991.1260,     355.55
 1991.2027,     356.96
 1991.2877,     358.40
 1991.3699,     359.14
 1991.4548,     358.04
 1991.5370,     355.98
 1991.6219,     353.81
 1991.7068,     351.95
 1991.7890,     352.02
 1991.8740,     353.55
 1991.9562,     354.79
 1992.0410,     355.79
 1992.1257,     356.52
 1992.2049,     357.61
 1992.2896,     358.95
 1992.3716,     359.46
 1992.4563,     359.05
 1992.5383,     356.82
 1992.6230,     354.80
 1992.7077,     352.81
 1992.7896,     353.11
 1992.8743,     353.96
 1992.9563,     355.20
 1993.0411,     356.50
 1993.1260,     356.97
 1993.2027,     358.18
 1993.2877,     359.26
 1993.3699,     360.08
 1993.4548,     359.40
 1993.5370,     357.38
 1993.6219,     355.33
 1993.7068,     353.50
 1993.7890,     353.80
 1993.8740,     355.14
 1993.9562,     356.62
 1994.0411,     358.19
 1994.1260,     358.73
 1994.2027,     359.79
 1994.2877,     361.09
 1994.3699,     361.52
 1994.4548,     360.77
 1994.5370,     359.38
 1994.6219,     357.31
 1994.7068,     355.68
 1994.7890,     355.83
 1994.8740,     357.42
 1994.9562,     358.88
 1995.0411,     359.81
 1995.1260,     360.84
 1995.2027,     361.48
 1995.2877,     363.30
 1995.3699,     363.64
 1995.4548,     363.11
 1995.5370,     361.75
 1995.6219,     359.31
 1995.7068,     357.91
 1995.7890,     357.62
 1995.8740,     359.42
 1995.9562,     360.56
 1996.0410,     361.91
 1996.1257,     363.11
 1996.2049,     363.89
 1996.2896,     364.58
 1996.3716,     365.29
 1996.4563,     364.84
 1996.5383,     363.52
 1996.6230,     361.35
 1996.7077,     359.32
 1996.7896,     359.48
 1996.8743,     360.64
 1996.9563,     362.21
 1997.0411,     363.06
 1997.1260,     363.87
 1997.2027,     364.44
 1997.2877,     366.23
 1997.3699,     366.68
 1997.4548,     365.52
 1997.5370,     364.36
 1997.6219,     362.39
 1997.7068,     360.08
 1997.7890,     360.67
 1997.8740,     362.32
 1997.9562,     364.17
 1998.0411,     365.22
 1998.1260,     366.04
 1998.2027,     367.20
 1998.2877,     368.50
 1998.3699,     369.19
 1998.4548,     368.77
 1998.5370,     367.53
 1998.6219,     365.67
 1998.7068,     363.80
 1998.7890,     364.13
 1998.8740,     365.36
 1998.9562,     366.87
 1999.0411,     368.05
 1999.1260,     368.77
 1999.2027,     369.49
 1999.2877,     371.04
 1999.3699,     370.90
 1999.4548,     370.25
 1999.5370,     369.17
 1999.6219,     366.83
 1999.7068,     364.54
 1999.7890,     365.04
 1999.8740,     366.58
 1999.9562,     367.92
 2000.0410,     369.05
 2000.1257,     369.37
 2000.2049,     370.42
 2000.2896,     371.57
 2000.3716,     371.74
 2000.4563,     371.60
 2000.5383,     370.02
 2000.6230,     368.03
 2000.7077,     366.53
 2000.7896,     366.64
 2000.8743,     368.20
 2000.9563,     369.44
 2001.0411,     370.20
 2001.1260,     371.42
 2001.2027,     372.04
 2001.2877,     372.78
 2001.3699,     373.94
 2001.4548,     373.23
 2001.5370,     371.54
 2001.6219,     369.47
 2001.7068,     367.88
 2001.7890,     368.01
 2001.8740,     369.60
 2001.9562,     371.16
 2002.0411,     372.36
 2002.1260,     373.00
 2002.2027,     373.44
 2002.2877,     374.77
 2002.3699,     375.48
 2002.4548,     375.33
 2002.5370,     373.95
 2002.6219,     371.41
 2002.7068,     370.63
 2002.7890,     370.18
 2002.8740,     372.01
 2002.9562,     373.71
 2003.0411,     374.61
 2003.1260,     375.55
 2003.2027,     376.04
 2003.2877,     377.58
 2003.3699,     378.28
 2003.4548,     378.07
 2003.5370,     376.54
 2003.6219,     374.42
 2003.7068,     372.92
 2003.7890,     372.94
 2003.8740,     374.29
 2003.9562,     375.63
 2004.0410,     376.73
 2004.1257,     377.31
 2004.2049,     378.33
 2004.2896,     380.44
 2004.3716,     380.56
 2004.4563,     379.49
 2004.5383,     377.71
 2004.6230,     375.77
 2004.7077,     373.99
 2004.7896,     374.17
 2004.8743,     375.79
 2004.9563,     377.39
 2005.0411,     378.29
 2005.1260,     379.56
 2005.2027,     380.06
 2005.2877,     382.02
 2005.3699,     382.21
 2005.4548,     382.05
 2005.5370,     380.63
 2005.6219,     378.64
 2005.7068,     376.38
 2005.7890,     376.77
 2005.8740,     378.27
 2005.9562,     379.93
 2006.0411,     381.33
 2006.1260,     381.98
 2006.2027,     382.53
 2006.2877,     384.33
 2006.3699,     384.89
 2006.4548,     383.99
 2006.5370,     382.25
 2006.6219,     380.44
 2006.7068,     378.77
 2006.7890,     379.03
 2006.8740,     380.11
 2006.9562,     381.63
 2007.0411,     382.55
 2007.1260,     383.68
 2007.2027,     384.31
 2007.2877,     386.20
 2007.3699,     386.38
 2007.4548,     385.85
 2007.5370,     384.42
 2007.6219,     381.81
 2007.7068,     380.83
 2007.7890,     380.83
 2007.8740,     382.32
 2007.9562,     383.58
 2008.0410,     385.04
 2008.1257,     385.81
 2008.2049,     385.80
 2008.2896,     386.74
 2008.3716,     388.49
 2008.4563,     388.02
 2008.5383,     386.22
 2008.6230,     384.05
 2008.7077,     383.05
 2008.7896,     382.75
 2008.8743,     383.98
 2008.9563,     385.08
 2009.0411,     386.63
 2009.1260,     387.10
 2009.2027,     388.50
 2009.2877,     389.54
 2009.3699,     390.15
 2009.4548,     389.60
 2009.5370,     388.05
 2009.6219,     386.07
 2009.7068,     384.64
 2009.7890,     384.32
 2009.8740,     386.05
 2009.9562,     387.49
 2010.0411,     388.55
 2010.1260,     390.08
 2010.2027,     391.02
 2010.2877,     392.39
 2010.3699,     393.24
 2010.4548,     392.26
 2010.5370,     390.35
 2010.6219,     388.53
 2010.7068,     386.85
 2010.7890,     387.18
 2010.8740,     388.69
 2010.9562,     389.83
 2011.0411,     391.33
 2011.1260,     391.96
 2011.2027,     392.49
 2011.2877,     393.41
 2011.3699,     394.33
 2011.4548,     393.75
 2011.5370,     392.64
 2011.6219,     390.25
 2011.7068,     389.05
 2011.7890,     388.98
 2011.8740,     390.30
 2011.9562,     391.86
 2012.0410,     393.13
 2012.1257,     393.42
 2012.2049,     394.43
 2012.2896,     396.51
 2012.3716,     396.96
 2012.4563,     395.97
 2012.5383,     394.60
 2012.6230,     392.61
 2012.7077,     391.20
 2012.7896,     391.09
 2012.8743,     393.03
 2012.9563,     394.42
 2013.0411,     395.69
 2013.1260,     396.94
 2013.2027,     397.35
 2013.2877,     398.44
 2013.3699,     400.06
 2013.4548,     398.95
 2013.5370,     397.45
 2013.6219,     395.49
 2013.7068,     393.48
 2013.7890,     393.77
 2013.8740,     395.27
 2013.9562,     396.90
 2014.0411,     398.01
 2014.1260,     398.18
 2014.2027,     399.56
 2014.2877,     401.44
 2014.3699,     401.99
 2014.4548,     401.41
 2014.5370,     399.17
 2014.6219,     397.30
 2014.7068,     395.49
 2014.7890,     395.74
 2014.8740,     397.32
 2014.9562,     398.89
 2015.0411,     399.94
 2015.1260,     400.39
 2015.2027,     401.60
 2015.2877,     403.53
 2015.3699,     404.04
 2015.4548,     402.81
 2015.5370,     401.54
 2015.6219,     398.93
 2015.7068,     397.43
 2015.7890,     398.21
 2015.8740,     400.17
 2015.9562,     401.82
 2016.0410,     402.58
 2016.1257,     404.09
 2016.2049,     404.79
 2016.2896,     407.50
 2016.3716,     407.59
 2016.4563,     406.94
 2016.5383,     404.43
 2016.6230,     402.17
 2016.7077,     400.94
 2016.7896,     401.43
 2016.8743,     403.57
 2016.9563,     404.48
 2017.0411,     406.00
 2017.1260,     406.57
 2017.2027,     406.99
 2017.2877,     408.88
 2017.3699,     409.84
 2017.4548,     409.05
 2017.5370,     407.13
 2017.6219,     405.17
 2017.7068,     403.20
 2017.7890,     403.57
 2017.8740,     405.10
 2017.9562,     406.68
 2018.0411,     407.98
 2018.1260,     408.36
 2018.2027,     409.21
 2018.2877,     410.24
 2018.3699,     411.23
 2018.4548,     410.81
 2018.5370,     408.83
 2018.6219,     407.02
 2018.7068,     405.52
 2018.7890,     405.93
 2018.8740,     408.04
 2018.9562,     409.17
 2019.0411,     410.85
 2019.1260,     411.59
 2019.2027,     411.91
 2019.2877,     413.46
 2019.3699,     414.76
 2019.4548,     413.89
 2019.5370,     411.78
 2019.6219,     410.01
 2019.7068,     408.48
 2019.7890,     408.39
 2019.8740,     410.16
 2019.9562,     411.81
 2020.0410,     413.30
 2020.1257,     414.05
 2020.2049,     414.45
 2020.2896,     416.11
 2020.3716,     417.15
 2020.4563,     416.29
 2020.5383,     414.42
 2020.6230,     412.52
 2020.7077,     411.18
 2020.7896,     411.12
 2020.8743,     412.88
 2020.9563,     413.89
 2021.0411,     415.15
 2021.1260,     416.47
 2021.2027,     417.16
 2021.2877,     418.24
 2021.3699,     418.95
 2021.4548,     418.70
 2021.5370,     416.65
 2021.6219,     414.35
