age,sex,bmi,children,smoker,region,charges
24,male,35.86,0,no,southeast,1986.9334
19,male,20.9,1,no,southwest,1832.094
29,male,28.975,1,no,northeast,4040.55825
27,male,30.3,3,no,southwest,4260.744000000001
51,male,24.415,4,no,northwest,11520.09985
45,male,30.2,1,no,southwest,7441.053000000001
49,male,25.84,1,no,northeast,9282.4806
18,male,29.37,1,no,southeast,1719.4363
41,male,37.05,2,no,northwest,7265.7025
50,male,27.455,1,no,northeast,9617.66245
25,male,27.55,0,no,northwest,2523.1695
19,male,20.615,2,no,northwest,2803.69785
59,male,31.79,2,no,southeast,12928.7911
30,male,27.645,1,no,northeast,4237.12655
46,male,26.62,1,no,southeast,7742.1098
25,male,26.8,3,no,southwest,3906.127
18,male,22.99,0,no,northeast,1704.5681
36,male,27.55,3,no,northeast,6746.7425
58,male,34.865,0,no,northeast,11944.59435
50,male,26.6,0,no,southwest,8444.474
49,male,35.86,0,no,southeast,8124.4084
52,male,33.25,0,no,northeast,9722.7695
50,male,32.205,0,no,northwest,8835.26495
54,male,32.775,0,no,northeast,10435.06525
32,male,37.335,1,no,northeast,4667.60765
34,male,25.27,1,no,northwest,4894.7533
57,male,40.945,0,no,northeast,11566.30055
29,male,27.2,0,no,southwest,2866.091
40,male,34.105,1,no,northeast,6600.20595
52,male,36.7,0,no,southwest,9144.565
64,male,34.5,0,no,southwest,13822.803
60,male,25.74,0,no,southeast,12142.5786
62,male,27.55,1,no,northwest,13937.6665
62,male,30.02,0,no,northwest,13352.0998
63,male,36.765,0,no,northeast,13981.85035
33,male,35.75,2,no,southeast,4889.9995
46,male,33.345,1,no,northeast,8334.45755
19,male,27.835,0,no,northwest,1635.73365
46,male,43.89,3,no,southeast,8944.1151
47,male,29.83,3,no,northwest,9620.3307
23,male,41.91,0,no,southeast,1837.2819
35,male,30.5,1,no,southwest,4751.07
44,male,32.015,2,no,northwest,8116.26885
18,male,30.4,3,no,northeast,3481.868
20,male,33.33,0,no,southeast,1391.5287
44,male,22.135,2,no,northeast,8302.53565
19,male,34.4,0,no,southwest,1261.859
48,male,35.625,4,no,northeast,10736.87075
48,male,31.445,1,no,northeast,8964.06055
49,male,31.35,1,no,northeast,9290.1395
46,male,19.855,0,no,northwest,7526.70645
64,male,25.6,2,no,southwest,14988.431999999999
47,male,47.52,1,no,southeast,8083.9198
49,male,32.3,3,no,northwest,10269.46
31,male,20.4,0,no,southwest,3260.199
38,male,21.12,3,no,southeast,6652.5288
32,male,30.03,1,no,southeast,4074.4537
19,male,17.48,0,no,northwest,1621.3402
25,male,23.9,5,no,southwest,5080.096
52,male,34.1,0,no,southeast,9140.951
64,male,39.16,1,no,southeast,14418.2804
25,male,30.59,0,no,northeast,2727.3951
48,male,30.2,2,no,southwest,8968.33
45,male,24.31,5,no,southeast,9788.8659
42,male,26.9,0,no,southwest,5969.723000000001
31,male,28.595,1,no,northwest,4243.59005
60,male,33.11,3,no,southeast,13919.8229
22,male,31.73,0,no,northeast,2254.7967
35,male,28.9,3,no,southwest,5926.846
26,male,29.45,0,no,northeast,2897.3235
18,male,43.01,0,no,southeast,1149.3959
60,male,29.64,0,no,northeast,12730.9996
35,male,38.6,1,no,southwest,4762.329000000001
39,male,29.6,4,no,southwest,7512.267
30,male,24.13,1,no,northwest,4032.2407
24,male,23.4,0,no,southwest,1969.614
20,male,29.735,0,no,northwest,1769.53165
32,male,46.53,2,no,southeast,4686.3887
56,male,39.6,0,no,southwest,10601.412
56,male,25.935,0,no,northeast,11165.41765
19,male,25.175,0,no,northwest,1632.03625
27,male,32.67,0,no,southeast,2497.0383
25,male,35.625,0,no,northwest,2534.39375
21,male,36.85,0,no,southeast,1534.3045
23,male,32.56,0,no,southeast,1824.2854
63,male,41.325,3,no,northwest,15555.18875
49,male,37.51,2,no,southeast,9304.7019
48,male,34.3,3,no,southwest,9563.029
19,male,28.7,0,no,southwest,1253.9360000000001
53,male,31.16,1,no,northwest,10461.9794
61,male,43.4,0,no,southwest,12574.048999999999
20,male,27.93,0,no,northeast,1967.0227
45,male,28.7,2,no,southwest,8027.968000000001
43,male,26.03,0,no,northeast,6837.3687
37,male,30.875,3,no,northwest,6796.86325
22,male,31.35,1,no,northwest,2643.2685
21,male,23.75,2,no,northwest,3077.0955
56,male,32.11,1,no,northeast,11763.0009
27,male,33.66,0,no,southeast,2498.4144
51,male,22.42,0,no,northeast,9361.3268
19,male,30.4,0,no,southwest,1256.299
58,male,35.7,0,no,southwest,11362.755
45,male,30.495,2,no,northwest,8413.46305
31,male,30.875,0,no,northeast,3857.75925
46,male,39.425,1,no,northeast,8342.90875
18,male,25.46,0,no,northeast,1708.0014
59,male,29.7,2,no,southeast,12925.886
64,male,40.48,0,no,southeast,13831.1152
38,male,28.025,1,no,northeast,6067.12675
54,male,30.21,0,no,northwest,10231.4999
28,male,35.435,0,no,northeast,3268.84665
63,male,30.8,0,no,southwest,13390.559
62,male,21.4,0,no,southwest,12957.118
28,male,23.8,2,no,southwest,3847.6740000000004
46,male,33.44,1,no,northeast,8334.5896
34,male,34.21,0,no,southeast,3935.1799
19,male,35.53,0,no,northwest,1646.4297
27,male,30.5,0,no,southwest,2494.022
50,male,44.77,1,no,southeast,9058.7303
41,male,30.59,2,no,northwest,7256.7231
22,male,26.84,0,no,southeast,1664.9996
52,male,30.2,1,no,southwest,9724.53
59,male,25.46,1,no,northeast,12913.9924
19,male,30.59,0,no,northwest,1639.5631
39,male,45.43,2,no,southeast,6356.2707
19,male,20.7,0,no,southwest,1242.816
21,male,20.235,3,no,northeast,3861.20965
47,male,19.57,1,no,northwest,8428.0693
20,male,31.13,2,no,southeast,2566.4707
41,male,40.26,0,no,southeast,5709.1644
43,male,32.6,2,no,southwest,7441.501
51,male,31.635,0,no,northwest,9174.13565
28,male,26.98,2,no,northeast,4435.0942
30,male,31.4,1,no,southwest,3659.3459999999995
59,male,28.785,0,no,northwest,12129.61415
36,male,28.88,3,no,northeast,6748.5912
58,male,38.0,0,no,southwest,11365.952
53,male,36.1,1,no,southwest,10085.846
24,male,29.3,0,no,southwest,1977.815
40,male,22.705,2,no,northeast,7173.35995
51,male,39.7,1,no,southwest,9391.346
64,male,38.19,0,no,northeast,14410.9321
56,male,33.66,4,no,southeast,12949.1554
33,male,42.4,5,no,southwest,6666.243
61,male,33.915,0,no,northeast,13143.86485
48,male,30.78,3,no,northeast,10141.1362
39,male,26.22,1,no,northwest,6123.5688
18,male,28.5,0,no,northeast,1712.227
27,male,33.155,2,no,northwest,4058.71245
37,male,46.53,3,no,southeast,6435.6237
18,male,33.66,0,no,southeast,1136.3994
49,male,28.7,1,no,southwest,8703.456
30,male,31.57,3,no,southeast,4837.5823
36,male,29.7,0,no,southeast,4399.731
45,male,21.375,0,no,northwest,7222.78625
56,male,36.1,3,no,southwest,12363.546999999999
19,male,20.3,0,no,southwest,1242.26
53,male,24.32,0,no,northwest,9863.4718
53,male,26.41,2,no,northeast,11244.3769
42,male,26.125,2,no,northeast,7729.64575
40,male,41.69,0,no,southeast,5438.7491
21,male,27.36,0,no,northeast,2104.1134
47,male,36.2,1,no,southwest,8068.185
20,male,32.395,1,no,northwest,2362.22905
24,male,23.655,0,no,northwest,2352.96845
56,male,33.725,0,no,northwest,10976.24575
53,male,41.47,0,no,southeast,9504.3103
49,male,28.69,3,no,northwest,10264.4421
18,male,35.2,1,no,southeast,1727.54
20,male,40.47,0,no,northeast,1984.4533
60,male,28.9,0,no,southwest,12146.971000000001
60,male,24.32,1,no,northwest,13112.6048
53,male,36.6,3,no,southwest,11264.541000000001
62,male,37.4,0,no,southwest,12979.358
19,male,35.4,0,no,southwest,1263.249
41,male,28.405,1,no,northwest,6664.68595
53,male,21.4,1,no,southwest,10065.413
26,male,23.7,2,no,southwest,3484.3309999999997
45,male,24.035,2,no,northeast,8604.48365
50,male,26.41,0,no,northwest,8827.2099
19,male,21.755,0,no,northwest,1627.28245
28,male,30.875,0,no,northwest,3062.50825
21,male,28.975,0,no,northwest,1906.35825
64,male,37.905,0,no,northwest,14210.53595
31,male,27.645,2,no,northeast,5031.26955
30,male,37.43,3,no,northeast,5428.7277
23,male,35.2,1,no,southwest,2416.955
27,male,26.03,0,no,northeast,3070.8087
47,male,32.3,1,no,southwest,8062.764
41,male,34.2,2,no,northwest,7261.741
51,male,33.33,3,no,southeast,10560.4917
40,male,32.3,2,no,northwest,6986.696999999999
45,male,39.805,0,no,northeast,7448.40395
35,male,34.32,3,no,southeast,5934.3798
53,male,28.88,0,no,northwest,9869.8102
18,male,41.14,0,no,southeast,1146.7966
51,male,35.97,1,no,southeast,9386.1613
60,male,36.955,0,no,northeast,12741.16745
21,male,36.86,0,no,northwest,1917.3184
29,male,22.515,3,no,northeast,5209.57885
19,male,27.6,0,no,southwest,1252.407
30,male,44.22,2,no,southeast,4266.1658
21,male,22.3,1,no,southwest,2103.08
23,male,26.51,0,no,southeast,1815.8759
18,male,30.14,0,no,southeast,1131.5066
25,male,25.84,1,no,northeast,3309.7926
54,male,21.01,2,no,southeast,11013.7119
28,male,22.515,2,no,northeast,4428.88785
36,male,34.43,2,no,southeast,5584.3057
23,male,37.1,3,no,southwest,3597.5959999999995
45,male,33.7,1,no,southwest,7445.918000000001
26,male,17.67,0,no,northwest,2680.9493
60,male,24.32,0,no,northwest,12523.6048
39,male,21.85,1,no,northwest,6117.4945
63,male,33.1,0,no,southwest,13393.756000000001
58,male,34.39,0,no,northwest,11743.9341
36,male,33.82,1,no,northwest,5377.4578
42,male,35.97,2,no,southeast,7160.3303
36,male,31.5,0,no,southwest,4402.233
21,male,31.1,0,no,southwest,1526.3120000000001
59,male,24.7,0,no,northeast,12323.936000000002
53,male,30.495,0,no,northeast,10072.05505
23,male,50.38,1,no,southeast,2438.0552
55,male,32.775,0,no,northwest,10601.63225
61,male,32.3,2,no,northwest,14119.62
57,male,28.1,0,no,southwest,10965.446000000002
51,male,25.4,0,no,southwest,8782.469000000001
40,male,29.9,2,no,southwest,6600.361
18,male,37.29,0,no,southeast,1141.4451
57,male,43.7,1,no,southwest,11576.13
61,male,23.655,0,no,northeast,13129.60345
50,male,36.2,0,no,southwest,8457.818000000001
42,male,24.86,0,no,southeast,5966.8874
43,male,30.1,1,no,southwest,6849.026
44,male,21.85,3,no,northeast,8891.1395
33,male,33.44,5,no,southeast,6653.7886
41,male,28.8,1,no,southwest,6282.235
22,male,34.8,3,no,southwest,3443.0640000000003
23,male,27.36,1,no,northwest,2789.0574
25,male,26.695,4,no,northwest,4877.98105
22,male,39.5,0,no,southwest,1682.5970000000002
57,male,33.63,1,no,northwest,11945.1327
54,male,24.035,0,no,northeast,10422.91665
62,male,32.11,0,no,northeast,13555.0049
19,male,25.555,1,no,northwest,2221.56445
49,male,22.515,0,no,northeast,8688.85885
26,male,27.265,3,no,northeast,4661.28635
49,male,36.85,0,no,southeast,8125.7845
27,male,32.585,3,no,northeast,4846.92015
63,male,39.8,3,no,southwest,15170.069
22,male,28.31,1,no,northwest,2639.0429
33,male,24.605,2,no,northwest,5257.50795
38,male,31.0,1,no,southwest,5488.262
34,male,35.815,0,no,northwest,4320.41085
43,male,23.2,0,no,southwest,6250.435
41,male,34.21,1,no,southeast,6289.7549
26,male,46.53,1,no,southeast,2927.0647
46,male,25.8,5,no,southwest,10096.97
32,male,37.18,2,no,southeast,4673.3922
18,male,26.18,2,no,southeast,2304.0022
53,male,29.48,0,no,southeast,9487.6442
18,male,23.21,0,no,southeast,1121.8739
19,male,22.61,0,no,northwest,1628.4709
62,male,39.93,0,no,southeast,12982.8747
42,male,35.8,2,no,southwest,7160.094
42,male,31.255,0,no,northwest,6358.77645
57,male,18.335,0,no,northeast,11534.87265
31,male,39.49,1,no,southeast,3875.7341
46,male,24.795,3,no,northeast,9500.57305
35,male,27.1,1,no,southwest,4746.344
44,male,25.365,1,no,northwest,7518.02535
21,male,25.745,2,no,northeast,3279.86855
26,male,35.42,0,no,southeast,2322.6218
48,male,40.15,0,no,southeast,7804.1605
26,male,29.15,1,no,southeast,2902.9065
34,male,21.375,0,no,northeast,4500.33925
20,male,30.115,5,no,northeast,4915.05985
43,male,30.115,3,no,northwest,8410.04685
34,male,34.675,0,no,northeast,4518.82625
38,male,28.27,1,no,southeast,5484.4673
24,male,25.8,0,no,southwest,1972.95
47,male,19.19,1,no,northeast,8627.5411
29,male,31.73,2,no,northwest,4433.3877
28,male,29.26,2,no,northeast,4438.2634
51,male,27.74,1,no,northeast,9957.7216
48,male,32.3,1,no,northwest,8765.249
59,male,25.46,0,no,northwest,12124.9924
51,male,37.0,0,no,southwest,8798.593
18,male,23.32,1,no,southeast,1711.0268
54,male,31.6,0,no,southwest,9850.431999999999
61,male,38.38,0,no,northwest,12950.0712
22,male,28.88,0,no,northeast,2250.8352
18,male,23.085,0,no,northeast,1704.70015
55,male,35.245,1,no,northeast,11394.06555
64,male,26.41,0,no,northeast,14394.5579
49,male,29.83,1,no,northeast,9288.0267
55,male,27.645,0,no,northwest,10594.50155
32,male,33.82,1,no,northwest,4462.7218
24,male,32.01,0,no,southeast,1981.5819
57,male,27.94,1,no,southeast,11554.2236
36,male,28.595,3,no,northwest,6548.19505
48,male,37.29,2,no,southeast,8978.1851
39,male,42.655,0,no,northeast,5757.41345
63,male,21.66,1,no,northwest,14349.8544
63,male,31.445,0,no,northeast,13974.45555
21,male,31.255,0,no,northwest,1909.52745
21,male,26.03,0,no,northeast,2102.2647
63,male,33.66,3,no,southeast,15161.5344
32,male,27.835,1,no,northwest,4454.40265
38,male,19.95,1,no,northwest,5855.9025
32,male,31.5,1,no,southwest,4076.4970000000003
55,male,28.975,0,no,northeast,10796.35025
57,male,31.54,0,no,northwest,11353.2276
52,male,47.74,1,no,southeast,9748.9106
56,male,22.1,0,no,southwest,10577.087
23,male,32.7,3,no,southwest,3591.48
22,male,33.77,0,no,southeast,1674.6323
53,male,28.6,3,no,southwest,11253.421
29,male,38.94,1,no,southeast,3471.4096
58,male,36.08,0,no,southeast,11363.2832
26,male,30.0,1,no,southwest,2904.0879999999997
45,male,20.35,3,no,southeast,8605.3615
23,male,24.51,0,no,northeast,2396.0959
55,male,32.67,1,no,southeast,10807.4863
41,male,29.64,5,no,northeast,9222.4026
46,male,38.17,2,no,southeast,8347.1643
55,male,29.9,0,no,southwest,10214.636
27,male,45.9,2,no,southwest,3693.428
33,male,30.25,0,no,southeast,3704.3545
50,male,37.07,1,no,southeast,9048.0273
39,male,32.34,2,no,southeast,6338.0756
50,male,32.3,2,no,southwest,9630.396999999999
52,male,32.775,3,no,northwest,11289.10925
55,male,21.5,1,no,southwest,10791.96
42,male,34.1,0,no,southwest,5979.731
34,male,42.13,2,no,southeast,5124.1887
57,male,40.37,0,no,southeast,10982.5013
32,male,35.2,2,no,southwest,4670.64
38,male,29.26,2,no,northwest,6457.8434
29,male,32.11,2,no,northwest,4433.9159
45,male,23.56,2,no,northeast,8603.8234
41,male,33.55,0,no,southeast,5699.8375
40,male,29.355,1,no,northwest,6393.60345
37,male,24.32,2,no,northwest,6198.7518
46,male,40.375,2,no,northwest,8733.22925
22,male,32.11,0,no,northwest,2055.3249
51,male,32.3,1,no,northeast,9964.06
35,male,17.86,1,no,northwest,5116.5004
59,male,37.1,1,no,southwest,12347.171999999999
36,male,30.875,1,no,northwest,5373.36425
18,male,21.47,0,no,northeast,1702.4553
40,male,25.08,0,no,southeast,5415.6612
29,male,37.29,2,no,southeast,4058.1161
40,male,24.97,2,no,southeast,6593.5083
50,male,25.3,0,no,southeast,8442.667
41,male,23.94,1,no,northeast,6858.4796
38,male,16.815,2,no,northeast,6640.54485
42,male,37.18,2,no,southeast,7162.0122
56,male,34.43,0,no,southeast,10594.2257
58,male,30.305,0,no,northeast,11938.25595
58,male,23.3,0,no,southwest,11345.518999999998
26,male,31.065,0,no,northwest,2699.56835
37,male,22.705,3,no,northeast,6985.50695
18,male,33.33,0,no,southeast,1135.9407
28,male,24.3,5,no,southwest,5615.369000000001
33,male,29.4,4,no,southwest,6059.173000000001
19,male,19.8,0,no,southwest,1241.565
28,male,37.1,1,no,southwest,3277.1609999999996
45,male,27.5,3,no,southwest,8615.3
26,male,33.915,1,no,northwest,3292.52985
35,male,27.61,1,no,southeast,4747.0529
57,male,23.7,0,no,southwest,10959.33
18,male,30.03,1,no,southeast,1720.3537
44,male,34.32,1,no,southeast,7147.4728
21,male,23.21,0,no,southeast,1515.3449
46,male,25.745,3,no,northwest,9301.89355
58,male,25.175,0,no,northeast,11931.12525
20,male,22.0,1,no,southwest,1964.78
18,male,26.125,0,no,northeast,1708.92575
33,male,27.455,2,no,northwest,5261.46945
41,male,32.2,2,no,southwest,6875.960999999999
42,male,26.315,1,no,northwest,6940.90985
34,male,42.9,1,no,southwest,4536.259
18,male,53.13,0,no,southeast,1163.4627
31,male,31.065,3,no,northwest,5425.02335
62,male,38.83,0,no,southeast,12981.3457
31,male,25.935,1,no,northwest,4239.89265
61,male,33.535,0,no,northeast,13143.33665
51,male,30.03,1,no,southeast,9377.9047
52,male,38.6,2,no,southwest,10325.206
50,male,30.97,3,no,northwest,10600.5483
